,id,movieID,movie,release_date,release_month,release_year,season,production_budget,domestic_gross,worldwide_gross,ROI,inflation_ratio,PB_AI,DG_AI,runtime_minutes,genres,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,Game-Show,History,Horror,Musical,Music,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Talk-Show,Thriller,War,Western
20,31,tt0948470,The Amazing Spider-Man,2012-07-03,7,2012,Summer,220000000,262030663,757890267,1.191048468181818,1.36,299200000.0,356361701.68,136.0,"Action,Adventure,Sci-Fi",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
21,32,tt1440129,Battleship,2012-05-18,5,2012,Spring,220000000,65233400,313477717,0.2965154545454545,1.36,299200000.0,88717424.0,131.0,"Action,Adventure,Sci-Fi",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
22,33,tt3371366,Transformers: The Last Knight,2017-06-21,6,2017,Summer,217000000,130168683,602893340,0.5998556820276497,1.27,275590000.0,165314227.41,154.0,"Action,Adventure,Sci-Fi",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
23,34,tt0369610,Jurassic World,2015-06-12,6,2015,Summer,215000000,652270625,1648854864,3.0338168604651163,1.32,283800000.0,860997225.0,124.0,"Action,Adventure,Sci-Fi",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
24,35,tt1409024,Men in Black 3,2012-05-25,5,2012,Spring,215000000,179020854,654213485,0.8326551348837209,1.36,292400000.0,243468361.44000003,106.0,"Action,Adventure,Comedy",1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,37,tt2109248,Transformers: Age of Extinction,2014-06-27,6,2014,Summer,210000000,245439076,1104039076,1.1687575047619048,1.32,277200000.0,323979580.32,165.0,"Action,Adventure,Sci-Fi",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
26,39,tt0955308,Robin Hood,2010-05-14,5,2010,Spring,210000000,105487148,322459006,0.5023197523809524,1.42,298200000.0,149791750.16,140.0,"Action,Adventure,Drama",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,39,tt2363363,Robin Hood,2010-05-14,5,2010,Spring,210000000,105487148,322459006,0.5023197523809524,1.42,298200000.0,149791750.16,92.0,"Action,Drama",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,39,tt4532826,Robin Hood,2010-05-14,5,2010,Spring,210000000,105487148,322459006,0.5023197523809524,1.42,298200000.0,149791750.16,116.0,"Action,Adventure,Thriller",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
30,9,tt0955308,Robin Hood,2018-11-21,11,2018,Fall,99000000,30824628,84747441,0.3113598787878788,1.24,122760000.0,38222538.72,140.0,"Action,Adventure,Drama",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,9,tt2363363,Robin Hood,2018-11-21,11,2018,Fall,99000000,30824628,84747441,0.3113598787878788,1.24,122760000.0,38222538.72,92.0,"Action,Drama",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,9,tt4532826,Robin Hood,2018-11-21,11,2018,Fall,99000000,30824628,84747441,0.3113598787878788,1.24,122760000.0,38222538.72,116.0,"Action,Adventure,Thriller",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
34,42,tt1825683,Black Panther,2018-02-16,2,2018,Winter,200000000,700059566,1348258224,3.50029783,1.24,248000000.0,868073861.84,134.0,"Action,Adventure,Sci-Fi",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
35,44,tt3606756,Incredibles 2,2018-06-15,6,2018,Summer,200000000,608581744,1242520711,3.04290872,1.24,248000000.0,754641362.56,118.0,"Action,Adventure,Animation",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
